productµversionµaction_set_nameµset_linkµset_description
SAS Visual Text Analyticsµ2021.2µBoolean Ruleµ/doc/en/pgmsascdc/v_019/casactml/cas-boolrule-TblOfActions.htmµProvides actions for Boolean rule extraction and scoring
SAS Visual Text Analyticsµ2021.2µLDA Topic Modelingµ/doc/en/pgmsascdc/v_019/casvtapg/cas-ldatopic-TblOfActions.htmµ"Provides actions for training an LDA topic model and scoring documents using the LDA
               model"
SAS Visual Text Analyticsµ2021.2µRecurrent Neural Networkµ/doc/en/pgmsascdc/v_019/casvtapg/cas-deeprnn-TblOfActions.htmµ"Provides actions for modeling and scoring with deep recurrent neural networks (RNN)
               with raw text inputs"
SAS Visual Text Analyticsµ2021.2µSampling and Partitioningµ/doc/en/pgmsascdc/v_019/casactstat/cas-sampling-TblOfActions.htmµProvides actions for sampling and partitioning of data
SAS Visual Text Analyticsµ2021.2µSearchµ/doc/en/pgmsascdc/v_019/casvtapg/cas-search-TblOfActions.htmµ"Provides actions for indexing structured and unstructured data, querying against an
               index, and performing aggregations on an index"
SAS Visual Text Analyticsµ2021.2µSearch Analyticsµ/doc/en/pgmsascdc/v_019/casvtapg/cas-searchanalytics-TblOfActions.htmµSearch analytics action set includes actions using analytics to improve search experience
SAS Visual Text Analyticsµ2021.2µSentiment Analysisµ/doc/en/pgmsascdc/v_019/casvtapg/cas-sentimentanalysis-TblOfActions.htmµProvides actions for the SAS Sentiment Analysis Application in CAS
SAS Visual Text Analyticsµ2021.2µSmart Data Set Analysis and Processingµ/doc/en/pgmsascdc/v_019/casvtapg/cas-smartdata-TblOfActions.htmµProvides actions for data analysis using machine learning
SAS Visual Text Analyticsµ2021.2µText Analytics Conditional Random Fieldsµ/doc/en/pgmsascdc/v_019/casvtapg/cas-conditionalrandomfields-TblOfActions.htmµSAS Text Analytics conditional random field modeling package for sequence labeling.
SAS Visual Text Analyticsµ2021.2µText Analytics Rule Developmentµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textruledevelop-TblOfActions.htmµ"SAS Text Analytics linguistic rule development package for categorization, concept
               extraction and sentiment analysis"
SAS Visual Text Analyticsµ2021.2µText Analytics Rule Scoreµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textrulescore-TblOfActions.htmµ"SAS Text Analytics linguistic rule scoring package for categorization, concept extraction
               and sentiment analysis"
SAS Visual Text Analyticsµ2021.2µText Managementµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textmanagement-TblOfActions.htmµProvides utility actions for managing the properties of the text
SAS Visual Text Analyticsµ2021.2µText Miningµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textmining-TblOfActions.htmµProvides actions for mining textual data
SAS Visual Text Analyticsµ2021.2µText Parseµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textparse-TblOfActions.htmµ"Provides actions for parsing, accumulating results, handling misspellings, and applying
               word vector models to score documents"
SAS Visual Text Analyticsµ2021.2µText Rule Discoveryµ/doc/en/pgmsascdc/v_019/casvtapg/cas-textrulediscover-TblOfActions.htmµProvides actions for term map extraction
SAS Visual Forecastingµ2021.2µKT Chartµ/doc/en/pgmsascdc/v_019/casactforecast/cas-ktchart-TblOfActions.htmµProvides actions for creating and managing KT charts
SAS Visual Forecastingµ2021.2µReconcile Forecastsµ/doc/en/pgmsascdc/v_019/casactforecast/cas-tsreconcile-TblOfActions.htmµProvides utility functions for reconciling hierarchical forecasts
SAS Visual Forecastingµ2021.2µStability Monitoringµ/doc/en/pgmsascdc/v_019/casactforecast/cas-stabilitymonitoring-TblOfActions.htmµProvides actions for monitoring stability
SAS Visual Forecastingµ2021.2µTime Filtersµ/doc/en/pgmsascdc/v_019/casactforecast/cas-timefilters-TblOfActions.htmµProvides actions used for time filters
SAS Visual Forecastingµ2021.2µTime Frequency Analysisµ/doc/en/pgmsascdc/v_019/casactforecast/cas-timefrequency-TblOfActions.htmµProvides utility functions for time frequency analysis
SAS Visual Forecastingµ2021.2µTime Series Information Analysisµ/doc/en/pgmsascdc/v_019/casactforecast/cas-tsinfo-TblOfActions.htmµProvides actions for time series information analysis
SAS Visual Forecastingµ2021.2µTime Series Processingµ/doc/en/pgmsascdc/v_019/casactforecast/cas-timedata-TblOfActions.htmµProvides actions for time series processing
SAS Data Qualityµ2021.2µData Discoveryµ/doc/en/pgmsascdc/v_019/casactdq/cas-datadiscovery-TblOfActions.htmµProvides actions for performing data discovery services
